address,value
0x86d00bEaaF6f2FC9703066b6A8FF39D179D4c86b,7200
0xA2dF3ad66df36274137Dd5b4832a19D040982bE6,900
0xA6792363F8a997E630fe275ccB8C9742e3A1C53E,300
0x31210DE9A816E21E7e5875827EA15bF15ce12381,300
0x68D81505C3D6aF928FBB6657369fb95Bb34cDC03,300
0x6AE65a7033a84bb36778fEA6607A25a0d6c8EE50,21000
0x3B7b467b37f5f1Fcb91C70a8e7A32d6a86bEA957,900
0x05538F4Fe6D78110F316d11bC19239A926c9c419,23700
0x78E84564A8EE721030b91d2efcdb9A3bBE5471a5,300
0x9ba42fe24E4dC589F19656f97Df3006E7B3E7D8E,8400
0x365F3FD9D98cF4Ef1Fa9C5940Ac9C302EEbF46e2,300
0x48a09055322ffAd1174Bbe708cbe2392007023fb,900
0x42e4e571f8082d979F8d7dfaDb2B846AD0C09d46,300
0x28B62386d588F06f36e417a5f66cb94bC9d0ab1F,300
0xABE8578a138f2d927D18EE273f68FFa00426bEaF,300
0x8742bB645ED4D0CFCBB3693d50B1baBDdAC32e8D,3600
0x22B921ca1D8d120061AD52a15106f164b5Cf7591,300
0x11eBeE2bF244325B5559f0F583722d35659DDcE8,1200
0xc2f0C198316e4621eA936Af82240a43CB7794326,2400
0xA6a9e2A1c1807a079F4Ad8bc6D947A1a7aE76591,300
0x508D92c3629F8832D5cA67Df987469993c703D6a,3600
0xeD4ad3Bff5f35B93e89dBcDdcF5999490Dc89aA4,18900
0xf20815951969Dd06FBA0fd50E059DAd4F9427111,300
0x63F91aD15E10921a43575b7211d681f2c552EED6,37200
0xAbddd183743e61A04a7B31DE3Dc68171Ca3eD4Cc,1500
0x29FF27862757953c3b90eDb5e2fB7D59d31D0746,900
0x6eaeC4C8C2319E050dE7Ae77C8346aC768C564F6,3000
0x92B4e75a7b15d125117a3afeD41D5980DD926536,300
0x9b87f284339b438997607F5248A41BAAAa6a3331,900
0xC381400e85275730b948f9398a00B747C11f35aD,300
0x16f7A5fedFE957C950bA41039133CE0BFEcbaa79,300
0xfcFFB51151B001019C2A5011abFedb73C8Df7186,300
0x95884379009a5555f43B159040ad62ff3789bb80,600
0xF378Bc06E8a1CC7c26bB27e6F81b84802198F4ac,300
0xC1770E090A1d649147432Bbe6902F77Ca7BFb55b,300
0x3DA21ca0e36b2A3fBe7c7Dd5836eEFF11789E5d8,1500
0x569dAaA3176c82DaCCBeB26804dfFf11ec460F0e,300
0x8449c711b5eB9600B018A1FFb77B83b6a1891123,900
0x1930892b509e956150cC10D8325568F7aD305A48,600
0x280F612720Ea40C3b95A91945A7c40384086b2C9,300
0xdF3FcF00F3635f9A4102233043B0040100DDf9f5,300
0xDD6241bf30A6e0Cbe2999F7d80F6A4FF411b819D,300
0xef930FA99e7907B7fdcD90bdF6E04B416d7E64Fa,12000
0xB6329Dd8e68dED6C973d7B1d3098Cc4FaD3858Da,2700
0x8A94cF585A114367820B26B429741cA6c3970e31,300
0x3a32affF419bC3a41c68Ddf793917CEdc6FF9Ad4,900
0x7B9057D5785aC4b044D614DD376aA30ac159F6Ce,1800
0x12Ba2DB263aEcf36Bf4dBE024942b497B5C374b5,300
0x7a5Dff0ba793868ac89ab6b47a4Ac098d6FB3BE1,1800
0x79Bdda65C706CBdA69C0AD4C8da1d3e91724f48D,600
0x1442043e82130181B6eE2e1bc87D2c894Cf2392F,300
